Quota,Hafiz-e-Quran,NTS,BA-BSC,Admission_Quota
Bahawalpur,No,51,508,OPEN
Bahawalpur,Yes,50,432,Bahawalpur
OPEN,No,0,449,Rejected
Bahawalpur,No,56,432,Rejected
Bahawalpur,No,50,408,Rejected
Bahawalpur,No,43,525,Bahawalpur
Bahawalpur,No,47,497,Bahawalpur
Bahawalpur,No,52,457,Bahawalpur
Bahawalpur,No,57,555,OPEN
Bahawalpur,No,60,460,Rejected
Bahawalpur,No,35,516,Rejected
Bahawalpur,No,47,559,Bahawalpur
OPEN,No,53,544,Rejected
Bahawalpur,No,0,460,Rejected
Bahawalpur,No,53,440,Rejected
Bahawalpur,No,54,472,Bahawalpur
Bahawalpur,No,62,538,OPEN
OPEN,No,50,618,OPEN
Bahawalpur,No,46,464,Bahawalpur
Bahawalpur,No,46,494,Bahawalpur
Bahawalpur,No,51,456,Bahawalpur
OPEN,No,49,600,OPEN
Bahawalpur,No,63,496,OPEN
Bahawalpur,No,50,472,Rejected
OPEN,No,0,497,Rejected
Bahawalpur,No,50,472,Rejected
OPEN,No,0,497,Rejected
Bahawalpur,No,47,487,Rejected
Bahawalpur,No,47,426,Rejected
Bahawalpur,No,51,657,OPEN
Bahawalpur,No,50,549,OPEN
OPEN,No,47,418,Rejected
Bahawalpur,No,50,559,OPEN
Bahawalpur,No,53,455,Rejected
Bahawalpur,No,51,515,OPEN
OPEN,No,46,480,Rejected
Bahawalpur,No,64,486,Bahawalpur
Bahawalpur,No,64,536,OPEN
Bahawalpur,No,60,424,Rejected
Bahawalpur,Yes,57,480,Bahawalpur
Bahawalpur,No,0,460,Rejected
Bahawalpur,No,53,440,Rejected
Bahawalpur,No,58,454,Bahawalpur
Bahawalpur,No,0,472,Rejected
OPEN,No,51,460,Rejected
OPEN,No,50,481,OPEN
OPEN,No,57,600,OPEN
Bahawalpur,No,50,521,Bahawalpur
Bahawalpur,No,50,480,Bahawalpur
Bahawalpur,No,52,567,Rejected
OPEN,No,54,640,OPEN
Bahawalpur,No,0,410,Rejected
Bahawalpur,No,67,536,OPEN
Bahawalpur,No,52,421,Bahawalpur
Bahawalpur,No,53,491,OPEN
Bahawalpur,No,50,476,Bahawalpur
Bahawalpur,No,59,543,OPEN
Bahawalpur,No,54,458,Bahawalpur
Bahawalpur,No,30,502,Rejected
Bahawalpur,No,38,458,Rejected
Bahawalpur,No,54,500,Bahawalpur
Bahawalpur,No,0,410,Rejected
Bahawalpur,No,67,536,OPEN
Bahawalpur,No,0,485,Rejected
Bahawalpur,No,51,508,OPEN
Bahawalpur,Yes,50,432,Bahawalpur
Bahawalpur,No,50,516,Bahawalpur
Bahawalpur,No,41,419,Rejected
Bahawalpur,No,72,660,OPEN
Bahawalpur,No,47,487,Rejected
Bahawalpur,No,47,426,Rejected
Bahawalpur,Yes,51,505,Bahawalpur
Bahawalpur,No,48,402,Rejected
Bahawalpur,No,50,440,Rejected
Bahawalpur,No,51,480,Bahawalpur
OPEN,No,0,503,Rejected
OPEN,No,50,481,OPEN
OPEN,No,57,600,OPEN
OPEN,No,37,489,Rejected
OPEN,No,49,438,Rejected
Bahawalpur,No,40,549,Bahawalpur
Bahawalpur,Yes,50,484,OPEN
Bahawalpur,No,68,572,OPEN
Bahawalpur,No,55,383,Rejected
Bahawalpur,Yes,53,505,Bahawalpur
Bahawalpur,No,72,563,Rejected
Bahawalpur,No,59,593,OPEN
Bahawalpur,No,42,464,Rejected
Bahawalpur,No,33,472,Rejected
Bahawalpur,No,51,548,Bahawalpur
Bahawalpur,No,46,532,Bahawalpur
Bahawalpur,No,54,488,OPEN
Bahawalpur,No,50,454,Bahawalpur
Bahawalpur,No,47,507,Bahawalpur
Bahawalpur,No,43,424,Rejected
Bahawalpur,No,0,574,Rejected
OPEN,No,50,493,Rejected
OPEN,No,0,355,Rejected
Bahawalpur,No,37,529,Rejected
Bahawalpur,Yes,50,523,Rejected
OPEN,No,52,488,Rejected
Bahawalpur,No,39,616,Rejected
OPEN,No,0,573,Rejected
OPEN,No,47,418,Rejected
Bahawalpur,No,50,559,OPEN
OPEN,No,39,495,Rejected
Bahawalpur,No,52,507,Bahawalpur
OPEN,No,43,485,Rejected
Bahawalpur,No,50,550,OPEN
Bahawalpur,No,65,481,OPEN
Bahawalpur,No,45,420,Rejected
Bahawalpur,No,68,566,OPEN
