Quota,Hafiz-e-Quran,NTS,BA-BSC,Result
Bahawalpur,No,51,508,Admitted
Bahawalpur,Yes,50,432,Admitted
OPEN,No,0,449,Rejected
Bahawalpur,No,56,432,Rejected
Bahawalpur,No,50,408,Rejected
Bahawalpur,No,43,525,Admitted
Bahawalpur,No,47,497,Admitted
Bahawalpur,No,52,457,Admitted
Bahawalpur,No,57,555,Admitted
Bahawalpur,No,60,460,Rejected
Bahawalpur,No,35,516,Rejected
Bahawalpur,No,47,559,Admitted
OPEN,No,53,544,Rejected
Bahawalpur,No,0,460,Rejected
Bahawalpur,No,53,440,Rejected
Bahawalpur,No,54,472,Admitted
Bahawalpur,No,62,538,Admitted
OPEN,No,50,618,Admitted
Bahawalpur,No,46,464,Admitted
Bahawalpur,No,46,494,Admitted
Bahawalpur,No,51,456,Admitted
OPEN,No,49,600,Admitted
Bahawalpur,No,63,496,Admitted
Bahawalpur,No,50,472,Rejected
OPEN,No,0,497,Rejected
Bahawalpur,No,50,472,Rejected
OPEN,No,0,497,Rejected
Bahawalpur,No,47,487,Rejected
Bahawalpur,No,47,426,Rejected
Bahawalpur,No,51,657,Admitted
Bahawalpur,No,50,549,Admitted
OPEN,No,47,418,Rejected
Bahawalpur,No,50,559,Admitted
Bahawalpur,No,53,455,Rejected
Bahawalpur,No,51,515,Admitted
OPEN,No,46,480,Rejected
Bahawalpur,No,64,486,Admitted
Bahawalpur,No,64,536,Admitted
Bahawalpur,No,60,424,Rejected
Bahawalpur,Yes,57,480,Admitted
Bahawalpur,No,0,460,Rejected
Bahawalpur,No,53,440,Rejected
Bahawalpur,No,58,454,Admitted
Bahawalpur,No,0,472,Rejected
OPEN,No,51,460,Rejected
OPEN,No,50,481,Admitted
OPEN,No,57,600,Admitted
Bahawalpur,No,50,521,Admitted
Bahawalpur,No,50,480,Admitted
Bahawalpur,No,52,567,Rejected
OPEN,No,54,640,Admitted
Bahawalpur,No,0,410,Rejected
Bahawalpur,No,67,536,Admitted
Bahawalpur,No,52,421,Admitted
Bahawalpur,No,53,491,Admitted
Bahawalpur,No,50,476,Admitted
Bahawalpur,No,59,543,Admitted
Bahawalpur,No,54,458,Admitted
Bahawalpur,No,30,502,Rejected
Bahawalpur,No,38,458,Rejected
Bahawalpur,No,54,500,Admitted
Bahawalpur,No,0,410,Rejected
Bahawalpur,No,67,536,Admitted
Bahawalpur,No,0,485,Rejected
Bahawalpur,No,51,508,Admitted
Bahawalpur,Yes,50,432,Admitted
Bahawalpur,No,50,516,Admitted
Bahawalpur,No,41,419,Rejected
Bahawalpur,No,72,660,Admitted
Bahawalpur,No,47,487,Rejected
Bahawalpur,No,47,426,Rejected
Bahawalpur,Yes,51,505,Admitted
Bahawalpur,No,48,402,Rejected
Bahawalpur,No,50,440,Rejected
Bahawalpur,No,51,480,Admitted
OPEN,No,0,503,Rejected
OPEN,No,50,481,Admitted
OPEN,No,57,600,Admitted
OPEN,No,37,489,Rejected
OPEN,No,49,438,Rejected
Bahawalpur,No,40,549,Admitted
Bahawalpur,Yes,50,484,Admitted
Bahawalpur,No,68,572,Admitted
Bahawalpur,No,55,383,Rejected
Bahawalpur,Yes,53,505,Admitted
Bahawalpur,No,72,563,Rejected
Bahawalpur,No,59,593,Admitted
Bahawalpur,No,42,464,Rejected
Bahawalpur,No,33,472,Rejected
Bahawalpur,No,51,548,Admitted
Bahawalpur,No,46,532,Admitted
Bahawalpur,No,54,488,Admitted
Bahawalpur,No,50,454,Admitted
Bahawalpur,No,47,507,Admitted
Bahawalpur,No,43,424,Rejected
Bahawalpur,No,0,574,Rejected
OPEN,No,50,493,Rejected
OPEN,No,0,355,Rejected
Bahawalpur,No,37,529,Rejected
Bahawalpur,Yes,50,523,Rejected
OPEN,No,52,488,Rejected
Bahawalpur,No,39,616,Rejected
OPEN,No,0,573,Rejected
OPEN,No,47,418,Rejected
Bahawalpur,No,50,559,Admitted
OPEN,No,39,495,Rejected
Bahawalpur,No,52,507,Admitted
OPEN,No,43,485,Rejected
Bahawalpur,No,50,550,Admitted
Bahawalpur,No,65,481,Admitted
Bahawalpur,No,45,420,Rejected
Bahawalpur,No,68,566,Admitted
