Merit Score,Domicile,Programme
76,Bahawalpur,BS Mathematics
76,Bahawalpur,BS Mathematics
77,Bahawalpur,BS Mathematics
76,Bahawalpur,BS Mathematics
92,Bahawalpur,BS Mathematics
59,Bahawalpur,BS Mathematics
80,Bahawalpur,BS Mathematics
80,Bahawalpur,BS Mathematics
76,Bahawalpur,BS Mathematics
77,Bahawalpur,BS Mathematics
83,OPEN,BS Mathematics
78,Bahawalpur,BS Mathematics
73,Bahawalpur,BS Mathematics
76,Bahawalpur,BS Mathematics
76,Bahawalpur,BS Mathematics
88,Bahawalpur,BS Mathematics
75,Bahawalpur,BS Mathematics
77,Bahawalpur,BS Mathematics
77,Bahawalpur,BS Mathematics
73,Bahawalpur,BS Mathematics
75,Bahawalpur,BS Mathematics
74,Bahawalpur,BS Mathematics
78,Bahawalpur,BS Mathematics
77,Bahawalpur,BS Mathematics
76,Bahawalpur,BS Mathematics
57,Bahawalpur,BS Mathematics
76,Bahawalpur,BS Mathematics
85,Bahawalpur,BS Mathematics
74,Bahawalpur,BS Mathematics
80,Bahawalpur,BS Mathematics
77,Bahawalpur,BS Mathematics
77,Bahawalpur,BS Mathematics
76,Bahawalpur,BS Mathematics
76,OPEN,BS Mathematics
73,OPEN,BS Mathematics
83,OPEN,BS Mathematics
89,OPEN,BS Mathematics
77,OPEN,BS Mathematics
76,OPEN,BS Mathematics
74,Bahawalpur,BS Mathematics
64,OPEN,BS Mathematics
83,Bahawalpur,BS CS
53,Bahawalpur,BS CS
54,Bahawalpur,BS CS
77,Bahawalpur,BS CS
55,Bahawalpur,BS CS
72,Bahawalpur,BS CS
58,Bahawalpur,BS CS
54,Bahawalpur,BS CS
59,Bahawalpur,BS CS
61,Bahawalpur,BS CS
53,Bahawalpur,BS CS
72,Bahawalpur,BS CS
60,Bahawalpur,BS CS
61,Bahawalpur,BS CS
62,Bahawalpur,BS CS
52,Bahawalpur,BS CS
73,Bahawalpur,BS CS
56,Bahawalpur,BS CS
60,Bahawalpur,BS CS
58,Bahawalpur,BS CS
63,Bahawalpur,BS CS
50,Bahawalpur,BS CS
63,Bahawalpur,BS CS
55,Bahawalpur,BS CS
64,Bahawalpur,BS CS
65,Bahawalpur,BS CS
62,Bahawalpur,BS CS
57,Bahawalpur,BS CS
60,Bahawalpur,BS CS
49,Bahawalpur,BS CS
53,Bahawalpur,BS CS
59,Bahawalpur,BS CS
54,Bahawalpur,BS CS
62,Bahawalpur,BS CS
68,Bahawalpur,BS CS
61,Bahawalpur,BS CS
75,Bahawalpur,BS CS
48,Bahawalpur,BS CS
58,Bahawalpur,BS CS
59,Bahawalpur,BS CS
54,Bahawalpur,BS CS
67,Bahawalpur,BS CS
56,Bahawalpur,BS CS
51,Bahawalpur,BS CS
59,Bahawalpur,BS CS
61,Bahawalpur,BS CS
62,Bahawalpur,BS CS
58,Bahawalpur,BS CS
54,Bahawalpur,BS CS
58,Bahawalpur,BS CS
55,Bahawalpur,BS CS
60,Bahawalpur,BS CS
54,Bahawalpur,BS CS
60,Bahawalpur,BS CS
49,Bahawalpur,BS CS
55,Bahawalpur,BS CS
70,Bahawalpur,BS CS
65,Bahawalpur,BS CS
61,Bahawalpur,BS CS
51,Bahawalpur,BS CS
58,Bahawalpur,BS CS
57,Bahawalpur,BS CS
52,Bahawalpur,BS CS
61,OPEN,BS CS
66,OPEN,BS CS
70,OPEN,BS CS
61,OPEN,BS CS
92,Bahawalpur,BS CS
