Merit Score,Domicile,Programme
76,Bahawalpur,BS Mathematics
76,Bahawalpur,BS Mathematics
77,Bahawalpur,BS Mathematics
76,Bahawalpur,BS Mathematics
92,Bahawalpur,BS Mathematics
59,Bahawalpur,BS Mathematics
80,Bahawalpur,BS Mathematics
80,Bahawalpur,BS Mathematics
76,Bahawalpur,BS Mathematics
77,Bahawalpur,BS Mathematics
83,OPEN,BS Mathematics
78,Bahawalpur,BS Mathematics
73,Bahawalpur,BS Mathematics
76,Bahawalpur,BS Mathematics
76,Bahawalpur,BS Mathematics
88,Bahawalpur,BS Mathematics
75,Bahawalpur,BS Mathematics
77,Bahawalpur,BS Mathematics
77,Bahawalpur,BS Mathematics
73,Bahawalpur,BS Mathematics
75,Bahawalpur,BS Mathematics
74,Bahawalpur,BS Mathematics
78,Bahawalpur,BS Mathematics
77,Bahawalpur,BS Mathematics
76,Bahawalpur,BS Mathematics
57,Bahawalpur,BS Mathematics
76,Bahawalpur,BS Mathematics
85,Bahawalpur,BS Mathematics
74,Bahawalpur,BS Mathematics
80,Bahawalpur,BS Mathematics
77,Bahawalpur,BS Mathematics
77,Bahawalpur,BS Mathematics
76,Bahawalpur,BS Mathematics
76,OPEN,BS Mathematics
73,OPEN,BS Mathematics
83,OPEN,BS Mathematics
89,OPEN,BS Mathematics
77,OPEN,BS Mathematics
76,OPEN,BS Mathematics
74,Bahawalpur,BS Mathematics
64,OPEN,BS Mathematics
83,Bahawalpur,BS CS
53,Bahawalpur,BS CS
54,Bahawalpur,BS CS
77,Bahawalpur,BS CS
55,Bahawalpur,BS CS
72,Bahawalpur,BS CS
58,Bahawalpur,BS CS
54,Bahawalpur,BS CS
59,Bahawalpur,BS CS
61,Bahawalpur,BS CS
53,Bahawalpur,BS CS
72,Bahawalpur,BS CS
60,Bahawalpur,BS CS
61,Bahawalpur,BS CS
62,Bahawalpur,BS CS
52,Bahawalpur,BS CS
73,Bahawalpur,BS CS
56,Bahawalpur,BS CS
60,Bahawalpur,BS CS
58,Bahawalpur,BS CS
63,Bahawalpur,BS CS
50,Bahawalpur,BS CS
63,Bahawalpur,BS CS
55,Bahawalpur,BS CS
64,Bahawalpur,BS CS
65,Bahawalpur,BS CS
62,Bahawalpur,BS CS
57,Bahawalpur,BS CS
60,Bahawalpur,BS CS
49,Bahawalpur,BS CS
53,Bahawalpur,BS CS
59,Bahawalpur,BS CS
54,Bahawalpur,BS CS
62,Bahawalpur,BS CS
68,Bahawalpur,BS CS
61,Bahawalpur,BS CS
75,Bahawalpur,BS CS
48,Bahawalpur,BS CS
58,Bahawalpur,BS CS
59,Bahawalpur,BS CS
54,Bahawalpur,BS CS
67,Bahawalpur,BS CS
56,Bahawalpur,BS CS
51,Bahawalpur,BS CS
59,Bahawalpur,BS CS
61,Bahawalpur,BS CS
62,Bahawalpur,BS CS
58,Bahawalpur,BS CS
54,Bahawalpur,BS CS
58,Bahawalpur,BS CS
55,Bahawalpur,BS CS
60,Bahawalpur,BS CS
54,Bahawalpur,BS CS
60,Bahawalpur,BS CS
49,Bahawalpur,BS CS
55,Bahawalpur,BS CS
70,Bahawalpur,BS CS
65,Bahawalpur,BS CS
61,Bahawalpur,BS CS
51,Bahawalpur,BS CS
58,Bahawalpur,BS CS
57,Bahawalpur,BS CS
52,Bahawalpur,BS CS
61,OPEN,BS CS
66,OPEN,BS CS
70,OPEN,BS CS
61,OPEN,BS CS
92,Bahawalpur,BS CS
59,Bahawalpur,BBA (Hons) after 12 years of education
56,Bahawalpur,BBA (Hons) after 12 years of education
46,Bahawalpur,BBA (Hons) after 12 years of education
77,Bahawalpur,BBA (Hons) after 12 years of education
55,Bahawalpur,BBA (Hons) after 12 years of education
58,Bahawalpur,BBA (Hons) after 12 years of education
59,Bahawalpur,BBA (Hons) after 12 years of education
83,Bahawalpur,BBA (Hons) after 12 years of education
53,Bahawalpur,BBA (Hons) after 12 years of education
46,Bahawalpur,BBA (Hons) after 12 years of education
56,Bahawalpur,BBA (Hons) after 12 years of education
58,OPEN,BBA (Hons) after 12 years of education
48,Bahawalpur,BBA (Hons) after 12 years of education
67,Bahawalpur,BBA (Hons) after 12 years of education
64,Bahawalpur,BBA (Hons) after 12 years of education
48,Bahawalpur,BBA (Hons) after 12 years of education
45,Bahawalpur,BBA (Hons) after 12 years of education
46,Bahawalpur,BBA (Hons) after 12 years of education
69,Bahawalpur,BBA (Hons) after 12 years of education
46,Bahawalpur,BBA (Hons) after 12 years of education
45,Bahawalpur,BBA (Hons) after 12 years of education
73,Bahawalpur,BBA (Hons) after 12 years of education
69,Bahawalpur,BBA (Hons) after 12 years of education
53,Bahawalpur,BBA (Hons) after 12 years of education
65,Bahawalpur,BBA (Hons) after 12 years of education
57,Bahawalpur,BBA (Hons) after 12 years of education
45,Bahawalpur,BBA (Hons) after 12 years of education
55,Bahawalpur,BS Applied Psychology
61,Bahawalpur,BS Applied Psychology
56,Bahawalpur,BS Applied Psychology
58,Bahawalpur,BS Applied Psychology
49,Bahawalpur,BS Applied Psychology
54,Bahawalpur,BS Applied Psychology
48,Bahawalpur,BS Applied Psychology
74,Bahawalpur,BS Applied Psychology
61,OPEN,BS Applied Psychology
56.727,OPEN,BS Economics
58.182,Bahawalpur,BS Economics
54.909,Bahawalpur,BS Economics
49.636,Bahawalpur,BS Economics
52.182,Bahawalpur,BS Economics
50.182,Bahawalpur,BS Economics
55.273,Bahawalpur,BS Economics
52.455,Bahawalpur,BS Economics
63.455,Bahawalpur,BS Economics
53.303,Bahawalpur,BS Economics
52.545,Bahawalpur,BS Economics
50.545,Bahawalpur,BS Economics
55.091,Bahawalpur,BS Economics
51.364,Bahawalpur,BS Economics
52.636,Bahawalpur,BS Economics
68.091,Bahawalpur,BS Economics
55.818,Bahawalpur,BS Economics
50.545,Bahawalpur,BS Economics
60.364,Bahawalpur,BS Economics
49.545,Bahawalpur,BS Economics
70.636,Bahawalpur,BS Economics
56.455,Bahawalpur,BS Economics
57.455,Bahawalpur,BS Economics
66.273,Bahawalpur,BS Economics
63.273,OPEN,BS Economics
61.364,OPEN,BS Economics
57.636,OPEN,BS Economics
63,OPEN,BS Economics
61.545,OPEN,BS Economics
65.818,OPEN,BS Economics
61.545,OPEN,BS Economics
61.818,OPEN,BS Economics
70,OPEN,BS Economics
67.545,OPEN,BS Economics
56.818,OPEN,BS Economics
57,OPEN,BS Economics
62.455,OPEN,BS Economics
77.091,OPEN,BS Economics
58.182,OPEN,BS Economics
54.273,OPEN,BS Economics
55,OPEN,BS Economics
53,Bahawalpur,BSc (Hons) Agriculture
82,Bahawalpur,BSc (Hons) Agriculture
